#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
35.053	303	35.079	433
35.104	289	35.130	452
35.154	281	35.180	471
35.206	280	35.231	491
35.256	287	35.281	509
35.307	299	35.333	527
35.357	315	35.383	542
35.408	337	35.434	554
35.459	363	35.484	561
35.510	391	35.535	564
35.560	419	35.586	563
35.611	447	35.637	558
35.661	473	35.687	548
35.712	494	35.738	535
35.763	513	35.788	520
35.814	524	35.839	502
35.864	531	35.890	484
35.915	529	35.941	465
35.965	522	35.991	449
36.017	507	36.042	434
36.067	489	36.092	421
36.118	466	36.144	411
36.168	439	36.194	406
36.219	411	36.245	404
36.270	381	36.295	405
36.321	354	36.346	412
36.371	329	36.397	421
36.422	308	36.448	434
36.472	291	36.498	449
36.524	280	36.549	465
36.574	277	36.599	481
36.625	280	36.650	499
36.675	288	36.701	513
36.726	303	36.752	527
36.776	324	36.802	538
36.828	348	36.853	545
36.878	377	36.903	549
36.929	407	36.955	550
36.979	436	37.005	548
37.030	462	37.056	541
37.081	487	37.106	531
37.132	508	37.157	519
37.182	523	37.208	506
37.233	532	37.259	491
37.283	533	37.309	476
37.335	528	37.360	461
37.385	517	37.410	447
37.436	501	37.461	436
37.486	479	37.512	427
37.537	453	37.563	421
37.587	424	37.613	418
37.639	394	37.664	418
37.689	365	37.714	421
37.740	339	37.766	428
37.790	315	37.816	437
37.841	297	37.867	449
37.892	282	37.917	462
37.943	276	37.968	475
37.993	275	38.019	489
38.044	282	38.070	502
38.094	294	38.120	513
38.146	312	38.171	523
38.196	335	38.221	530
38.247	363	38.272	535
38.297	393	38.323	537
38.348	422	38.374	536
38.398	451	38.424	532
38.450	477	38.475	525
38.500	501	38.525	516
38.551	518	38.577	506
38.601	529	38.627	494
38.652	535	38.678	483
38.703	533	38.728	471
38.754	525	38.779	460
38.804	511	38.830	449
38.855	490	38.881	442
38.905	466	38.931	436
38.957	439	38.982	432
39.007	409	39.032	431
39.058	379	39.084	433
39.108	350	39.134	437
39.159	324	39.185	443
39.209	303	39.235	451
39.261	287	39.286	461
39.311	276	39.336	471
39.362	274	39.388	482
39.412	277	39.438	492
39.463	286	39.489	501
39.514	303	39.539	509
39.565	325	39.590	516
39.615	350	39.641	521
39.666	379	39.692	523
39.716	410	39.742	523
39.768	439	39.793	521
39.818	466	39.843	516
39.869	491	39.895	511
39.919	511	39.945	503
39.970	524	39.996	495
40.020	534	40.046	487
40.072	535	40.097	477
40.122	530	40.147	469
40.173	518	40.199	462
40.223	500	40.249	455
40.274	478	40.300	450
40.325	451	40.350	446
40.376	422	40.401	446
40.426	392	40.452	446
40.477	364	40.503	448
40.527	336	40.553	452
40.579	313	40.604	457
40.629	294	40.654	463
40.680	281	40.706	471
40.730	275	40.756	477
40.781	275	40.807	484
40.831	282	40.857	492
40.883	295	40.908	498
40.933	315	40.958	503
40.984	338	41.010	506
41.034	366	41.060	509
41.085	395	41.111	509
41.136	425	41.161	509
41.187	453	41.212	506
41.237	480	41.263	503
41.288	501	41.314	498
41.338	519	41.364	493
41.390	530	41.415	488
41.440	535	41.465	481
41.491	532	41.517	476
41.541	524	41.567	471
41.592	508	41.618	467
41.642	488	41.668	463
41.694	463	41.719	460
41.745	436	41.769	459
41.795	407	41.821	458
41.846	376	41.871	460
41.896	348	41.922	462
41.948	323	41.972	465
41.998	304	42.023	467
42.049	287	42.074	472
42.099	278	42.125	477
42.150	276	42.175	481
42.201	280	42.226	484
42.252	290	42.276	489
42.302	307	42.328	491
42.353	328	42.378	494
42.403	354	42.429	494
42.455	382	42.479	495
42.505	411	42.530	496
42.556	440	42.580	495
42.606	467	42.632	493
42.657	491	42.682	491
42.707	510	42.733	489
42.759	524	42.783	486
42.809	530	42.834	484
42.860	531	42.885	481
42.910	526	42.936	479
42.961	514	42.986	475
43.012	496	43.037	474
43.063	473	43.087	474
43.113	447	43.139	472
43.164	419	43.189	472
43.214	391	43.240	472
43.266	363	43.290	473
43.316	336	43.341	474
43.367	314	43.391	475
43.417	296	43.443	475
43.468	285	43.493	477
43.518	279	43.544	479
43.570	280	43.594	481
43.620	287	43.645	482
43.671	302	43.696	482
43.721	321	43.747	482
43.772	343	43.797	483
43.823	370	43.848	482
43.874	399	43.898	482
43.924	427	43.950	482
43.975	454	44.000	482
44.025	479	44.051	482
44.077	499	44.101	482
44.127	515	44.152	483
44.178	525	44.202	482
44.228	529	44.254	483
44.279	525	44.304	484
44.329	517	44.355	484
44.381	502	44.405	484
44.431	482	44.456	483
44.482	458	44.507	483
44.532	431	44.558	485
44.583	404	44.608	484
44.634	376	44.659	483
44.685	349	44.710	483
44.735	326	44.761	482
