#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 10:03:51 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
36.473	424	36.497	451
36.523	427	36.548	450
36.574	432	36.599	450
36.624	435	36.650	451
36.675	441	36.700	450
36.726	444	36.751	450
36.777	450	36.801	450
36.827	452	36.853	450
36.878	455	36.903	451
36.928	458	36.954	450
36.980	459	37.004	451
37.030	459	37.055	451
37.081	458	37.105	450
37.131	455	37.157	451
37.182	452	37.208	451
37.232	449	37.258	450
37.284	444	37.309	450
37.334	441	37.359	450
37.385	435	37.411	450
37.435	433	37.461	451
37.486	428	37.512	450
37.537	425	37.562	450
37.588	423	37.613	450
37.638	421	37.664	450
37.689	421	37.715	451
37.739	420	37.765	451
37.791	423	37.816	451
37.841	424	37.866	450
37.892	427	37.918	450
37.942	430	37.968	450
37.993	434	38.019	450
38.043	437	38.069	450
38.095	442	38.120	450
38.145	444	38.170	450
38.196	449	38.222	449
38.246	450	38.272	450
38.297	452	38.323	450
38.348	454	38.373	450
38.399	454	38.424	449
38.449	455	38.475	450
38.500	453	38.526	451
38.550	451	38.576	450
38.602	448	38.627	451
38.652	446	38.677	451
38.703	442	38.729	450
38.753	440	38.779	451
38.804	435	38.830	450
38.854	433	38.880	451
38.906	430	38.931	451
38.956	428	38.981	450
39.007	426	39.033	450
39.057	425	39.083	450
39.108	425	39.134	450
39.159	424	39.184	450
39.210	427	39.235	450
39.260	427	39.286	450
39.311	431	39.337	450
39.361	433	39.387	450
39.413	436	39.438	450
39.463	438	39.488	451
39.514	442	39.540	450
39.564	445	39.590	450
39.615	448	39.641	450
39.665	448	39.691	451
39.717	449	39.742	451
39.767	451	39.792	450
39.818	451	39.844	451
39.868	450	39.894	450
39.919	448	39.945	451
39.970	448	39.995	451
40.021	444	40.046	449
40.071	444	40.097	451
40.122	441	40.148	450
40.172	439	40.198	449
40.224	436	40.249	451
40.274	434	40.299	451
40.325	432	40.351	450
40.375	430	40.401	451
40.426	430	40.452	450
40.476	428	40.502	450
40.528	429	40.553	451
40.578	429	40.603	450
40.629	431	40.655	450
40.679	431	40.705	450
40.730	433	40.756	450
40.781	434	40.806	450
40.832	437	40.857	449
40.883	440	40.908	450
40.933	442	40.959	450
40.984	444	41.009	451
41.035	445	41.060	450
41.086	447	41.110	450
41.136	448	41.162	450
41.187	449	41.212	451
41.237	447	41.263	451
41.289	447	41.313	451
41.339	445	41.364	452
41.390	444	41.414	450
41.440	443	41.466	450
41.491	441	41.516	450
41.541	440	41.567	450
41.593	437	41.617	451
41.643	436	41.668	450
41.694	434	41.719	450
41.744	434	41.770	450
41.795	432	41.820	449
41.846	432	41.871	451
41.897	431	41.921	451
41.947	432	41.973	450
41.998	433	42.023	450
42.048	435	42.074	450
42.100	435	42.124	450
42.150	436	42.175	450
42.201	437	42.225	451
42.251	439	42.277	450
42.302	440	42.327	450
42.352	440	42.378	450
42.404	442	42.428	450
42.454	442	42.479	451
42.505	444	42.530	450
42.555	443	42.581	451
42.606	445	42.631	450
42.657	443	42.682	451
42.708	443	42.732	451
42.758	442	42.784	451
42.809	442	42.834	451
42.859	441	42.885	451
42.911	439	42.935	450
42.961	438	42.986	451
43.012	437	43.036	450
43.062	437	43.088	450
43.113	435	43.138	449
43.163	436	43.189	450
43.215	435	43.239	450
43.265	435	43.290	450
43.316	435	43.341	450
43.366	436	43.392	450
43.417	436	43.442	451
43.468	438	43.493	451
43.519	437	43.543	451
43.569	439	43.595	451
43.620	440	43.645	450
43.670	440	43.696	450
43.722	441	43.746	451
43.772	440	43.797	451
43.823	442	43.847	450
43.873	441	43.899	450
43.924	442	43.950	451
43.974	440	44.000	450
44.026	441	44.051	451
44.076	440	44.101	451
44.127	440	44.153	450
44.177	440	44.203	450
44.228	440	44.254	450
44.279	439	44.304	451
44.330	437	44.355	451
44.380	438	44.406	450
44.431	438	44.457	450
44.481	439	44.507	451
