#Creator: pendulumEventBuffer
#Creation time: Mon Mar 21 09:33:57 2022
#Time	Period	Transit time
#[s]	[s]	[s]
793.265525	2.126236	0.118854
794.328667	2.126264	0.119146
795.391789	2.126108	0.119522
796.454775	2.125998	0.119786
797.517787	2.126211	0.120034
798.580986	2.126300	0.120316
799.644087	2.126189	0.120626
800.707175	2.126230	0.120986
801.770317	2.126314	0.121342
802.833489	2.126174	0.121642
803.896491	2.126017	0.121930
804.959506	2.126133	0.122192
806.022624	2.126183	0.122360
807.085689	2.126053	0.122658
808.148677	2.126107	0.123050
809.211796	2.126142	0.123368
810.274819	2.126096	0.123698
811.337892	2.126095	0.124060
812.400914	2.126072	0.124340
813.463964	2.126154	0.124624
814.527068	2.126094	0.124984
815.590058	2.126011	0.125296
816.653079	2.126102	0.125566
817.716160	2.126143	0.125856
818.779222	2.125974	0.126160
819.842134	2.125926	0.126484
820.905148	2.126109	0.126836
821.968243	2.126084	0.127146
823.031232	2.126023	0.127440
824.094266	2.125952	0.127788
825.157184	2.126078	0.128116
826.220344	2.125990	0.128660
827.283174	2.125832	0.128956
828.346176	2.126056	0.129084
829.409230	2.125722	0.129504
830.471898	2.125726	0.129720
831.534956	2.126062	0.130020
832.597960	2.125899	0.130520
833.660855	2.125864	0.130942
834.723824	2.125994	0.131312
835.786849	2.125971	0.131622
836.849795	2.125648	0.131942
837.912497	2.125616	0.132322
838.975411	2.125939	0.132602
840.038436	2.126049	0.132980
841.101460	2.126103	0.133440
842.164539	2.126062	0.133742
843.227522	2.125836	0.134084
844.290375	2.125676	0.134542
845.353198	2.125893	0.134916
846.416268	2.126127	0.135128
847.479325	2.125900	0.135402
848.542168	2.125868	0.135824
849.605193	2.125899	0.136182
850.668067	2.125839	0.136514
851.731032	2.125863	0.136844
852.793930	2.125893	0.137180
853.856925	2.125869	0.137598
854.919799	2.125814	0.137958
855.982739	2.125835	0.138270
857.045634	2.125810	0.138604
858.108549	2.125919	0.139022
859.171553	2.125869	0.139370
860.234418	2.125867	0.139800
861.297420	2.125916	0.140204
862.360334	2.125786	0.140444
863.423206	2.125793	0.140744
864.486127	2.125835	0.141074
865.549041	2.125881	0.141502
866.612008	2.125765	0.141876
867.674806	2.125695	0.142180
868.737703	2.125783	0.142538
869.800589	2.125795	0.142898
870.863498	2.125732	0.143284
871.926321	2.125711	0.143694
872.989209	2.125755	0.144054
874.052076	2.125738	0.144452
875.114947	2.125728	0.144834
876.177804	2.125744	0.145140
877.240691	2.125735	0.145558
878.303539	2.125684	0.145962
879.366375	2.125690	0.146298
880.429229	2.125814	0.146622
881.492189	2.125719	0.147082
882.554948	2.125621	0.147464
883.617810	2.125709	0.147760
884.680657	2.125713	0.148174
885.743523	2.125675	0.148538
886.806332	2.125692	0.148928
887.869215	2.125464	0.149338
888.931796	2.125530	0.149672
889.994745	2.125913	0.149978
891.057709	2.125901	0.150278
892.120646	2.125693	0.150700
893.183402	2.125505	0.151192
894.246151	2.125371	0.151546
895.308773	2.125485	0.152050
896.371636	2.125824	0.152444
897.434597	2.125695	0.152698
898.497331	2.125590	0.153078
899.560187	2.125886	0.153450
900.623217	2.125754	0.153830
901.685941	2.125447	0.154226
902.748664	2.125395	0.154636
903.811336	2.125467	0.155104
904.874131	2.125794	0.155430
905.937130	2.125503	0.155940
906.999634	2.125131	0.156560
908.062261	2.125544	0.156882
909.125178	2.125896	0.157184
910.188157	2.125690	0.157318
911.250868	2.125423	0.157796
912.313580	2.125488	0.158480
913.376356	2.125514	0.158928
914.439094	2.125549	0.159420
915.501905	2.125540	0.159894
916.564634	2.125441	0.160364
917.627346	2.125344	0.160908
918.689978	2.125423	0.161420
919.752769	2.125446	0.161866
920.815424	2.125261	0.162328
921.878030	2.125266	0.162764
922.940690	2.125479	0.163196
924.003509	2.125746	0.163570
925.066436	2.125451	0.163928
926.128960	2.125095	0.164436
927.191531	2.125343	0.164962
928.254303	2.125494	0.165434
929.317025	2.125392	0.165922
930.379695	2.125135	0.166322
931.442160	2.125173	0.166888
932.504868	2.125651	0.167540
933.567811	2.125790	0.167882
934.630658	2.125067	0.168264
935.692878	2.125320	0.168708
936.755978	2.125767	0.169180
937.818645	2.125150	0.169798
938.881128	2.125180	0.170152
939.943825	2.125187	0.170454
941.006315	2.125257	0.170862
942.069082	2.125267	0.171244
943.131582	2.125384	0.171764
944.194466	2.125600	0.172184
945.257182	2.125274	0.172576
946.319740	2.125206	0.173060
947.382388	2.125252	0.173452
948.444992	2.125270	0.173824
949.507658	2.125228	0.174280
950.570220	2.125210	0.174788
951.632868	2.125256	0.175208
952.695476	2.125306	0.175596
953.758174	2.125212	0.176244
954.820688	2.125203	0.176732
955.883377	2.125410	0.177018
956.946098	2.125198	0.177384
958.008575	2.124965	0.177814
959.071063	2.125372	0.178358
960.133947	2.125255	0.178874
961.196318	2.125418	0.179316
962.259365	2.125409	0.179742
963.321727	2.124907	0.180182
964.384272	2.125100	0.180664
965.446827	2.125047	0.181210
966.509319	2.124979	0.181622
967.571806	2.124971	0.181968
968.634290	2.125357	0.182436
969.697163	2.125416	0.182938
970.759706	2.125127	0.183392
